股票代码,行业,股票名称,市盈率得分,财务得分,总分
000001.SZ,银行,平安银行,36.0,44.0,40.0
000002.SZ,全国地产,万科A,24.0,50.0,37.0
000004.SZ,软件服务,国华网安,16.0,36.0,26.0
000005.SZ,环境保护,ST星源,16.0,44.0,30.0
000006.SZ,区域地产,深振业A,24.0,48.0,36.0
000007.SZ,酒店餐饮,*ST全新,8.0,44.0,26.0
000008.SZ,运输设备,神州高铁,16.0,30.0,23.0
000009.SZ,电气设备,中国宝安,24.0,38.0,31.0
000010.SZ,建筑工程,美丽生态,24.0,45.0,34.5
000011.SZ,区域地产,深物业A,36.0,45.0,40.5
000012.SZ,玻璃,南玻A,32.0,53.0,42.5
000014.SZ,全国地产,沙河股份,8.0,38.0,23.0
000016.SZ,家用电器,深康佳A,40.0,45.0,42.5
000017.SZ,文教休闲,深中华A,8.0,47.0,27.5
000019.SZ,其他商业,深粮控股,32.0,42.0,37.0
000020.SZ,元器件,深华发A,24.0,63.0,43.5
000021.SZ,IT设备,深科技,32.0,55.0,43.5
000023.SZ,水泥,深天地A,24.0,47.0,35.5
000025.SZ,汽车服务,特力A,8.0,57.0,32.5
000026.SZ,其他商业,飞亚达,32.0,59.0,45.5
000027.SZ,火力发电,深圳能源,16.0,50.0,33.0
000028.SZ,医药商业,国药一致,32.0,66.0,49.0
000029.SZ,区域地产,深深房A,56.0,41.0,48.5
000030.SZ,汽车配件,富奥股份,32.0,62.0,47.0
000031.SZ,全国地产,大悦城,32.0,42.0,37.0
000032.SZ,元器件,深桑达A,40.0,30.0,35.0
000034.SZ,综合类,神州数码,40.0,54.0,47.0
000035.SZ,环境保护,中国天楹,40.0,53.0,46.5
000036.SZ,全国地产,华联控股,8.0,65.0,36.5
000037.SZ,火力发电,深南电A,8.0,38.0,23.0
000038.SZ,综合类,深大通,32.0,33.0,32.5
000039.SZ,轻工机械,中集集团,32.0,54.0,43.0
000040.SZ,新型电力,东旭蓝天,40.0,31.0,35.5
000042.SZ,全国地产,中洲控股,32.0,52.0,42.0
000045.SZ,元器件,深纺织A,44.0,34.0,39.0
000046.SZ,多元金融,泛海控股,32.0,43.0,37.5
000048.SZ,饲料,京基智农,8.0,45.0,26.5
000049.SZ,电气设备,德赛电池,40.0,48.0,44.0
000050.SZ,元器件,深天马A,40.0,50.0,45.0
000055.SZ,其他建材,方大集团,24.0,35.0,29.5
000056.SZ,房产服务,皇庭国际,8.0,44.0,26.0
000058.SZ,商品城,深赛格,24.0,49.0,36.5
000059.SZ,石油加工,华锦股份,24.0,45.0,34.5
000060.SZ,铅锌,中金岭南,68.0,47.0,57.5
000061.SZ,农业综合,农产品,24.0,42.0,33.0
000062.SZ,批发业,深圳华强,44.0,42.0,43.0
000063.SZ,通信设备,中兴通讯,32.0,61.0,46.5
000065.SZ,建筑工程,北方国际,32.0,37.0,34.5
000066.SZ,IT设备,中国长城,24.0,44.0,34.0
000068.SZ,环境保护,华控赛格,16.0,37.0,26.5
000069.SZ,旅游景点,华侨城A,40.0,30.0,35.0
000070.SZ,通信设备,特发信息,40.0,42.0,41.0
000078.SZ,医药商业,海王生物,32.0,53.0,42.5
000088.SZ,港口,盐田港,8.0,54.0,31.0
000089.SZ,机场,深圳机场,24.0,38.0,31.0
000090.SZ,建筑工程,天健集团,32.0,36.0,34.0
000096.SZ,石油贸易,广聚能源,44.0,51.0,47.5
000099.SZ,空运,中信海直,56.0,46.0,51.0
